a,b,c
"San Diego CA","Albuquerque NM",113
"San Diego CA","Charlotte NC",113
"Tucson AZ","Albuquerque NM",113
"Atlanta GA","Appleton WI",114
"Cedar Rapids/Iowa City IA","Atlanta GA",114
"Charlotte NC","Albany NY",114
"Chicago IL","Asheville NC",114
"Fort Myers FL","Cleveland OH",114
"Kansas City MO","Indianapolis IN",114
"Lubbock TX","Denver CO",114
"New Bern/Morehead/Beaufort NC","Atlanta GA",114
"Oakland CA","Albuquerque NM",114
"Orlando FL","Memphis TN",114
"Pensacola FL","Charlotte NC",114
"Salt Lake City UT","Cincinnati OH",114
"Salt Lake City UT","Medford OR",114
"Sault Ste. Marie MI","Detroit MI",114
"Tucson AZ","Atlanta GA",114
"Washington DC","Knoxville TN",114
"Kansas City MO","Baltimore MD",115
"Nashville TN","Columbus OH",115
"San Diego CA","San Antonio TX",115
"San Francisco CA","Crescent City CA",115
"Washington DC","Rochester NY",115
"Dallas/Fort Worth TX","Chattanooga TN",116
"Dallas/Fort Worth TX","Columbus GA",116
"Denver CO","Bakersfield CA",116
"Grand Island NE","Dallas/Fort Worth TX",116
"Houston TX","Des Moines IA",116
"Milwaukee WI","Boston MA",116
"New Orleans LA","Birmingham AL",116
"New York NY","Memphis TN",116
"Oakland CA","Boise ID",116
"Panama City FL","Nashville TN",116
"Pittsburgh PA","Denver CO",116
"Reno NV","Portland OR",116
"Santa Ana CA","Newark NJ",116
"Sioux City IA","Chicago IL",116
"Springfield MO","Denver CO",116
"St. Louis MO","Fort Myers FL",116
"St. Louis MO","Nashville TN",116
"Waterloo IA","Chicago IL",116
"Spokane WA","Boise ID",117
"Birmingham AL","Baltimore MD",118
"Killeen TX","Atlanta GA",118
"Las Vegas NV","Cleveland OH",118
"Las Vegas NV","Indianapolis IN",118
"Mosinee WI","Detroit MI",118
"Oklahoma City OK","Minneapolis MN",118
"Panama City FL","Houston TX",118
"Phoenix AZ","Nashville TN",118
"Phoenix AZ","Oklahoma City OK",118
"Pittsburgh PA","Fort Myers FL",118
"Salt Lake City UT","Omaha NE",118
"San Antonio TX","Salt Lake City UT",118
"San Diego CA","Austin TX",118
"San Francisco CA","Kansas City MO",118
"Tampa FL","Providence RI",118
"Tulsa OK","Phoenix AZ",118
"Jackson WY","Denver CO",119
"Minneapolis MN","Boise ID",119
"Salt Lake City UT","Charlotte NC",119
"San Diego CA","Reno NV",119
"Greer SC","Detroit MI",120
"Las Vegas NV","Boston MA",120
"Minneapolis MN","Hartford CT",120
"Orlando FL","Norfolk VA",120
"Reno NV","Oakland CA",120
"San Diego CA","Baltimore MD",120
"State College PA","Detroit MI",120
"Baltimore MD","Austin TX",121
"Los Angeles CA","Baltimore MD",121
"Pittsburgh PA","Newark NJ",121
"Washington DC","Burlington VT",121
"Washington DC","Roanoke VA",121
"Eugene OR","Denver CO",122
"Los Angeles CA","Inyokern CA",122
"Philadelphia PA","Baltimore MD",122
"Philadelphia PA","New Orleans LA",122
"Salt Lake City UT","Butte MT",122
"Salt Lake City UT","Grand Junction CO",122
"Seattle WA","Juneau AK",122
"Williston ND","Minneapolis MN",122
"Columbia MO","Atlanta GA",123
"Houston TX","Charleston SC",123
"Minneapolis MN","Bemidji MN",123
"Nashville TN","Fort Lauderdale FL",123
"Sacramento CA","Chicago IL",123
"Sitka AK","Juneau AK",123
"Spokane WA","Las Vegas NV",123
"West Palm Beach/Palm Beach FL","Detroit MI",123
"Chicago IL","Charlottesville VA",124
"Dallas/Fort Worth TX","Brownsville TX",124
"Eau Claire WI","Chicago IL",124
"Fort Lauderdale FL","Austin TX",124
"Fort Myers FL","Akron OH",124
"Fort Myers FL","Columbus OH",124
"Fort Wayne IN","Dallas/Fort Worth TX",124
"Fresno CA","Dallas/Fort Worth TX",124
"Garden City KS","Dallas/Fort Worth TX",124
"Grand Forks ND","Denver CO",124
"Grand Junction CO","Dallas/Fort Worth TX",124
"Grand Rapids MI","Baltimore MD",124
"Hancock/Houghton MI","Chicago IL",124
"Honolulu HI","Dallas/Fort Worth TX",124
"Jackson/Vicksburg MS","Chicago IL",124
"Joplin MO","Dallas/Fort Worth TX",124
"Kahului HI","Hilo HI",124
"Kalamazoo MI","Chicago IL",124
"Lake Charles LA","Dallas/Fort Worth TX",124
"Laramie WY","Denver CO",124
"Las Vegas NV","Boise ID",124
"Longview TX","Dallas/Fort Worth TX",124
"Los Angeles CA","El Centro CA",124
"Manhattan/Ft. Riley KS","Chicago IL",124
"Miami FL","Charleston SC",124
"Miami FL","Cincinnati OH",124
"Miami FL","Columbus OH",124
"Miami FL","Gainesville FL",124
"Miami FL","Greensboro/High Point NC",124
"Miami FL","Louisville KY",124
"Midland/Odessa TX","Denver CO",124
"Minneapolis MN","Aberdeen SD",124
"Muskegon MI","Chicago IL",124
"New York NY","Aguadilla PR",124
"New York NY","Akron OH",124
"New York NY","Indianapolis IN",124
"Norfolk VA","Dallas/Fort Worth TX",124
"Norfolk VA","Miami FL",124
"Oakland CA","Kahului HI",124
"Oklahoma City OK","Las Vegas NV",124
"Omaha NE","Las Vegas NV",124
"Orlando FL","Akron OH",124
"Orlando FL","Birmingham AL",124
"Paducah KY","Chicago IL",124
"Phoenix AZ","Des Moines IA",124
"Phoenix AZ","Miami FL",124
"Pittsburgh PA","Boston MA",124
"Pittsburgh PA","Miami FL",124
"Portland OR","Anchorage AK",124
"Portland OR","Honolulu HI",124
"Portland OR","Kahului HI",124
"Reno NV","Chicago IL",124
"Reno NV","Dallas/Fort Worth TX",124
"Richmond VA","Orlando FL",124
"Sacramento CA","Long Beach CA",124
"Salt Lake City UT","Burbank CA",124
"Salt Lake City UT","Casper WY",124
"Salt Lake City UT","Colorado Springs CO",124
"Salt Lake City UT","Eugene OR",124
"Salt Lake City UT","Palm Springs CA",124
"Salt Lake City UT","Rock Springs WY",124
"San Diego CA","Honolulu HI",124
"San Francisco CA","Bakersfield CA",124
"San Jose CA","Houston TX",124
"San Jose CA","Kahului HI",124
"Santa Fe NM","Dallas/Fort Worth TX",124
"Spokane WA","Minneapolis MN",124
"St. Louis MO","Seattle WA",124
"Syracuse NY","Orlando FL",124
"Tampa FL","Cleveland OH",124
"Tampa FL","Columbus OH",124
"Tampa FL","Hartford CT",124
"Tampa FL","Milwaukee WI",124
"Tampa FL","St. Louis MO",124
"Washington DC","Fort Myers FL",124
"Washington DC","Portland OR",124
"Washington DC","San Juan PR",124
"West Palm Beach/Palm Beach FL","Houston TX",124
"West Palm Beach/Palm Beach FL","Islip NY",124
"Islip NY","Fort Lauderdale FL",125
"St. Louis MO","Cincinnati OH",125
"Knoxville TN","Houston TX",126
"New Orleans LA","Baltimore MD",126
"Orlando FL","Albany NY",126
"Roanoke VA","Chicago IL",126
"Salt Lake City UT","Austin TX",126
"Salt Lake City UT","Fresno CA",126
"Salt Lake City UT","Oklahoma City OK",126
"Atlanta GA","Albuquerque NM",127
"Washington DC","Savannah GA",127
"Wichita KS","Denver CO",127
"Great Falls MT","Denver CO",128
"Miami FL","Birmingham AL",128
"Phoenix AZ","Durango CO",128
"San Francisco CA","Bend/Redmond OR",128
"Savannah GA","Chicago IL",128
"Washington DC","Buffalo NY",128
"Newark NJ","Albany NY",129
"San Diego CA","Philadelphia PA",129
"Fort Lauderdale FL","Buffalo NY",130
"Portland ME","Baltimore MD",130
"Sacramento CA","Houston TX",130
"Dayton OH","Baltimore MD",131
"Rochester NY","Baltimore MD",131
"Houston TX","Fort Myers FL",132
"Las Vegas NV","Baltimore MD",132
"Milwaukee WI","Fort Myers FL",132
"Orlando FL","Manchester NH",132
"Portland OR","Houston TX",132
"Providence RI","Fort Lauderdale FL",132
"San Juan PR","Dallas/Fort Worth TX",132
"Valparaiso FL","Houston TX",132
"Washington DC","Albany NY",132
"Orlando FL","Austin TX",133
"Seattle WA","Ontario CA",133
"Los Angeles CA","Cleveland OH",134
"Nashville TN","Las Vegas NV",134
"Orlando FL","Kansas City MO",134
"Richmond VA","Cleveland OH",134
"Greensboro/High Point NC","Detroit MI",135
"Norfolk VA","Chicago IL",135
"Seattle WA","Palm Springs CA",136
"Sioux Falls SD","Dallas/Fort Worth TX",136
"Denver CO","Dayton OH",137
"Orlando FL","Cleveland OH",137
"San Antonio TX","Minneapolis MN",137
"San Jose CA","Chicago IL",137
"New York NY","Fayetteville AR",138
"Tampa FL","Indianapolis IN",138
"Newark NJ","Indianapolis IN",139
"Washington DC","Austin TX",139
"Newburgh/Poughkeepsie NY","Detroit MI",140
"Syracuse NY","Charlotte NC",140
"Hayden CO","Denver CO",142
"Las Vegas NV","Honolulu HI",142
"Portland OR","Ontario CA",142
"Sioux Falls SD","Denver CO",142
"White Plains NY","Detroit MI",142
"Washington DC","Jacksonville FL",143
"Charlotte NC","Birmingham AL",144
"Detroit MI","Burlington VT",144
"Hartford CT","Cincinnati OH",144
"San Francisco CA","Kahului HI",144
"San Juan PR","Charlotte Amalie VI",145
"San Juan PR","Charlotte NC",145
"Buffalo NY","Boston MA",146
"Denver CO","Billings MT",146
"Seattle WA","Philadelphia PA",147
"Eagle CO","Dallas/Fort Worth TX",148
"Greensboro/High Point NC","Charlotte NC",148
"Minot ND","Minneapolis MN",148
"San Antonio TX","Memphis TN",148
"Cincinnati OH","Baltimore MD",150
"Memphis TN","Austin TX",150
"Memphis TN","Indianapolis IN",150
"New Orleans LA","Memphis TN",150
"Newark NJ","Memphis TN",150
"Washington DC","Salt Lake City UT",150
"Denver CO","Cedar Rapids/Iowa City IA",151
"Detroit MI","Allentown/Bethlehem/Easton PA",151
"Madison WI","Denver CO",151
"San Antonio TX","Detroit MI",151
"San Juan PR","Newark NJ",151
"Newark NJ","Grand Rapids MI",152
"Norfolk VA","New York NY",152
"Brunswick GA","Atlanta GA",154
"Salt Lake City UT","Great Falls MT",154
"San Antonio TX","El Paso TX",154
"Washington DC","Memphis TN",154
"Houston TX","Greer SC",156
"Mosinee WI","Minneapolis MN",156
"Washington DC","Richmond VA",156
"Lexington KY","Detroit MI",158
"Little Rock AR","Denver CO",158
"Newark NJ","Louisville KY",158
"Portland ME","Detroit MI",158
"Portland OR","Atlanta GA",158
"Salt Lake City UT","Baltimore MD",158
"Salt Lake City UT","Helena MT",158
"St. Louis MO","Salt Lake City UT",158
"Seattle WA","Detroit MI",159
"Washington DC","Kansas City MO",159
"Lincoln NE","Denver CO",160
"Memphis TN","Cincinnati OH",160
"Pasco/Kennewick/Richland WA","Denver CO",160
"Huntsville AL","Houston TX",161
"St. Louis MO","Omaha NE",161
"Fresno CA","Denver CO",162
"Idaho Falls ID","Denver CO",162
"Louisville KY","Baltimore MD",162
"Minneapolis MN","Lincoln NE",162
"Monroe LA","Houston TX",162
"Phoenix AZ","Monterey CA",162
"Santa Barbara CA","Denver CO",162
"Seattle WA","Fairbanks AK",162
"Syracuse NY","Detroit MI",162
"Washington DC","Greensboro/High Point NC",162
"Indianapolis IN","Baltimore MD",163
"Salt Lake City UT","Kalispell MT",163
"Erie PA","Detroit MI",164
"Houston TX","Amarillo TX",164
"Salt Lake City UT","Memphis TN",164
"Spokane WA","Phoenix AZ",164
"Charlotte NC","Austin TX",165
"Los Angeles CA","Kansas City MO",165
"Lubbock TX","Houston TX",165
"Newark NJ","Dayton OH",165
"San Antonio TX","Charlotte NC",165
"Washington DC","Charleston SC",165
"Bethel AK","Anchorage AK",166
"Detroit MI","Austin TX",166
"Detroit MI","Des Moines IA",166
"Manhattan/Ft. Riley KS","Dallas/Fort Worth TX",166
"Nashville TN","Miami FL",166
"Richmond VA","Detroit MI",166
"St. Louis MO","Miami FL",166
"Greensboro/High Point NC","Chicago IL",167
"Washington DC","Providence RI",167
"Chicago IL","Allentown/Bethlehem/Easton PA",168
"El Paso TX","Austin TX",168
"Huntsville AL","Chicago IL",168
"Nashville TN","Kansas City MO",168
"Peoria IL","Detroit MI",168
"Providence RI","Atlanta GA",168
"San Diego CA","Minneapolis MN",168
"Columbus MS","Atlanta GA",169
"Flint MI","Detroit MI",169
"Laredo TX","Houston TX",169
"New Orleans LA","Fort Lauderdale FL",169
"Salt Lake City UT","Elko NV",169
"Salt Lake City UT","Pocatello ID",169
"Santa Ana CA","Minneapolis MN",169
"Dallas/Fort Worth TX","Columbia SC",170
"Miami FL","Cleveland OH",170
"Oklahoma City OK","Los Angeles CA",170
"Santa Ana CA","Portland OR",170
"Tucson AZ","San Diego CA",170
"Washington DC","Columbia SC",170
"Charleston SC","Baltimore MD",172
"Detroit MI","Birmingham AL",172
"Detroit MI","Dayton OH",172
"Fort Smith AR","Atlanta GA",172
"Madison WI","Atlanta GA",172
"Manchester NH","Detroit MI",172
"Moline IL","Detroit MI",172
"Omaha NE","Detroit MI",172
"Salt Lake City UT","Kansas City MO",172
"San Francisco CA","Fort Lauderdale FL",172
"Tampa FL","Raleigh/Durham NC",172
"Valdosta GA","Atlanta GA",172
"Wichita KS","Minneapolis MN",172
"Knoxville TN","Detroit MI",173
"Nashville TN","Jacksonville FL",173
"Newark NJ","Charleston SC",173
"Portland OR","Minneapolis MN",173
"Atlanta GA","Albany GA",174
"Atlanta GA","Albany NY",174
"Charlottesville VA","Atlanta GA",174
"Des Moines IA","Atlanta GA",174
"Detroit MI","Akron OH",174
"Evansville IN","Detroit MI",174
"Fort Wayne IN","Atlanta GA",174
"Minneapolis MN","Columbus OH",174
"Minneapolis MN","Dayton OH",174
"Minneapolis MN","La Crosse WI",174
"Orlando FL","Cincinnati OH",174
"Salt Lake City UT","Albuquerque NM",174
"San Francisco CA","Detroit MI",174
"Milwaukee WI","Baltimore MD",175
"Atlanta GA","Allentown/Bethlehem/Easton PA",176
"Bloomington/Normal IL","Atlanta GA",176
"Columbia SC","Chicago IL",176
"Juneau AK","Anchorage AK",176
"Minneapolis MN","Austin TX",176
"Moline IL","Atlanta GA",176
"Newark NJ","Greensboro/High Point NC",176
"Peoria IL","Atlanta GA",176
"Philadelphia PA","Cincinnati OH",176
"Portland OR","Long Beach CA",176
"Seattle WA","Burbank CA",176
"South Bend IN","Atlanta GA",176
"Syracuse NY","Atlanta GA",176
"Yuma AZ","Los Angeles CA",176
"Dallas TX","Birmingham AL",177
"Detroit MI","Cleveland OH",177
"Tampa FL","New Orleans LA",177
"Tyler TX","Houston TX",177
"White Plains NY","Fort Lauderdale FL",177
"Dallas/Fort Worth TX","Charleston SC",178
"Dayton OH","Dallas/Fort Worth TX",178
"Gillette WY","Denver CO",178
"Greensboro/High Point NC","Dallas/Fort Worth TX",178
"Greer SC","Dallas/Fort Worth TX",178
"Huntsville AL","Dallas/Fort Worth TX",178
"Kansas City MO","Detroit MI",178
"Lansing MI","Chicago IL",178
"Lexington KY","Dallas/Fort Worth TX",178
"Milwaukee WI","Houston TX",178
"Mobile AL","Dallas/Fort Worth TX",178
"Moline IL","Dallas/Fort Worth TX",178
"Monroe LA","Dallas/Fort Worth TX",178
"Montgomery AL","Dallas/Fort Worth TX",178
"Phoenix AZ","Bakersfield CA",178
"Phoenix AZ","Columbus OH",178
"Pittsburgh PA","Phoenix AZ",178
"Portland OR","Eugene OR",178
"Richmond VA","Dallas/Fort Worth TX",178
"Roswell NM","Dallas/Fort Worth TX",178
"Springfield IL","Chicago IL",178
"Tampa FL","Pittsburgh PA",178
"Texarkana AR","Dallas/Fort Worth TX",178
"Tucson AZ","Salt Lake City UT",178
"El Paso TX","Chicago IL",179
"Las Vegas NV","El Paso TX",179
"Memphis TN","Houston TX",179
"Minneapolis MN","Memphis TN",179
"Pittsburgh PA","Baltimore MD",179
"Harrisburg PA","Charlotte NC",180
"Kansas City MO","Cleveland OH",180
"San Diego CA","Newark NJ",180
"San Luis Obispo CA","Phoenix AZ",180
"Springfield MO","Chicago IL",180
"Lincoln NE","Chicago IL",181
"Milwaukee WI","Las Vegas NV",181
"Omaha NE","Minneapolis MN",181
"Houston TX","College Station/Bryan TX",182
"Las Vegas NV","Austin TX",182
"Phoenix AZ","Grand Junction CO",182
"Tampa FL","Minneapolis MN",182
"Rapid City SD","Denver CO",183
"Grand Rapids MI","Atlanta GA",184
"New Orleans LA","Los Angeles CA",184
"Phoenix AZ","Honolulu HI",184
"Portland OR","Burbank CA",184
"San Diego CA","Portland OR",184
"Santa Ana CA","Atlanta GA",184
"Missoula MT","Denver CO",185
"Salt Lake City UT","Jackson WY",185
"San Francisco CA","Modesto CA",185
"St. Louis MO","Las Vegas NV",185
"Washington DC","Las Vegas NV",185
"West Palm Beach/Palm Beach FL","Baltimore MD",185
"Dallas/Fort Worth TX","Alexandria LA",186
"Dallas/Fort Worth TX","Birmingham AL",186
"Fort Myers FL","Dallas/Fort Worth TX",186
"Grand Rapids MI","Dallas/Fort Worth TX",186
"Gulfport/Biloxi MS","Dallas/Fort Worth TX",186
"Hartford CT","Dallas/Fort Worth TX",186
"Houston TX","Fayetteville AR",186
"Jacksonville FL","Baltimore MD",186
"Madison WI","Dallas/Fort Worth TX",186
"Miami FL","Baltimore MD",186
"Miami FL","Charlotte Amalie VI",186
"Miami FL","Denver CO",186
"Miami FL","Indianapolis IN",186
"Minneapolis MN","Miami FL",186
"New Orleans LA","Miami FL",186
"Palm Springs CA","Dallas/Fort Worth TX",186
"Palm Springs CA","Las Vegas NV",186
"Pensacola FL","Miami FL",186
"Peoria IL","Dallas/Fort Worth TX",186
"Phoenix AZ","Boise ID",186
"Phoenix AZ","Fort Lauderdale FL",186
"Raleigh/Durham NC","Miami FL",186
"Rock Springs WY","Denver CO",186
"Saginaw/Bay City/Midland MI","Chicago IL",186
"San Francisco CA","Chico CA",186
"San Francisco CA","Miami FL",186
"Savannah GA","Dallas/Fort Worth TX",186
"Seattle WA","Kahului HI",186
"Seattle WA","Ketchikan AK",186
"Spokane WA","Seattle WA",186
"Tucson AZ","Chicago IL",186
"West Palm Beach/Palm Beach FL","Chicago IL",186
"West Palm Beach/Palm Beach FL","Dallas/Fort Worth TX",186
"Wichita Falls TX","Dallas/Fort Worth TX",186
"Williston ND","Denver CO",186
"Indianapolis IN","Chicago IL",187
"Kona HI","Kahului HI",187
"Lihue HI","Kahului HI",187
"Ontario CA","Denver CO",187
"Pittsburgh PA","Detroit MI",187
"Portland OR","Bend/Redmond OR",187
"Traverse City MI","Detroit MI",188
"Twin Falls ID","Salt Lake City UT",188
"Los Angeles CA","Colorado Springs CO",189
"San Francisco CA","Redding CA",189
"Washington DC","Norfolk VA",189
"Houston TX","Colorado Springs CO",190
"Indianapolis IN","Fort Myers FL",190
"Jacksonville FL","Chicago IL",190
"Memphis TN","Detroit MI",190
"Providence RI","Chicago IL",190
"San Francisco CA","Orlando FL",190
"Tampa FL","San Juan PR",190
"Indianapolis IN","Charlotte NC",191
"Reno NV","Denver CO",192
"Greer SC","Chicago IL",195
"Cincinnati OH","Boston MA",196
"Los Angeles CA","Kona HI",196
"Montrose/Delta CO","Denver CO",196
"Orlando FL","Islip NY",196
"Hartford CT","Fort Lauderdale FL",198
"Moline IL","Chicago IL",198
"San Francisco CA","Long Beach CA",198
"New York NY","Jacksonville FL",199
"White Plains NY","Chicago IL",199
"Denver CO","Bozeman MT",200
"Newark NJ","Burlington VT",200
"Tampa FL","Phoenix AZ",200
"Duluth MN","Chicago IL",201
"Killeen TX","Houston TX",201
"Minneapolis MN","Baltimore MD",201
"Phoenix AZ","Orlando FL",201
"Rochester NY","Detroit MI",202
"Washington DC","Hartford CT",204
"Houston TX","Alexandria LA",205
"Pittsburgh PA","Philadelphia PA",205
"Raleigh/Durham NC","Detroit MI",206
"Newark NJ","Milwaukee WI",207
"Minneapolis MN","Appleton WI",208
"Detroit MI","Cedar Rapids/Iowa City IA",209
"Peoria IL","Chicago IL",210
"Tampa FL","Boston MA",210
"White Plains NY","West Palm Beach/Palm Beach FL",210
"Denver CO","Cleveland OH",211
"Kansas City MO","Charlotte NC",212
"Oakland CA","Denver CO",212
"Orlando FL","Milwaukee WI",212
"Chicago IL","Albuquerque NM",214
"Chicago IL","Aspen CO",214
"Houston TX","Boston MA",214
"Minneapolis MN","Cedar Rapids/Iowa City IA",214
"San Antonio TX","Denver CO",214
"Santa Maria CA","Los Angeles CA",214
"Rapid City SD","Minneapolis MN",215
"Columbus GA","Atlanta GA",216
"Detroit MI","Appleton WI",216
"Harrisburg PA","Detroit MI",216
"Oakland CA","Long Beach CA",216
"St. Louis MO","Charlotte NC",216
"Atlanta GA","Alexandria LA",218
"El Paso TX","Denver CO",218
"Newark NJ","Manchester NH",218
"Salt Lake City UT","Pasco/Kennewick/Richland WA",218
"Newark NJ","Jacksonville FL",219
"Syracuse NY","New York NY",220
"Tucson AZ","Houston TX",220
"Grand Rapids MI","Chicago IL",221
"Portland ME","New York NY",221
"Raleigh/Durham NC","Nashville TN",221
"Salt Lake City UT","Missoula MT",221
"New Orleans LA","Nashville TN",223
"Newark NJ","Nashville TN",223
"Fort Wayne IN","Detroit MI",224
"Monroe LA","Atlanta GA",224
"Tallahassee FL","Miami FL",224
"Newark NJ","Kansas City MO",225
"San Antonio TX","Los Angeles CA",225
"Hartford CT","Detroit MI",226
"Los Angeles CA","El Paso TX",226
"Salt Lake City UT","Ontario CA",226
"Savannah GA","Charlotte NC",226
"St. Louis MO","Los Angeles CA",226
"White Plains NY","Orlando FL",226
"Jacksonville FL","Fort Lauderdale FL",227
"Columbus OH","Baltimore MD",228
"Houston TX","Cincinnati OH",228
"San Diego CA","New York NY",228
"Lake Charles LA","Houston TX",229
"Omaha NE","Atlanta GA",229
"Colorado Springs CO","Chicago IL",230
"Phoenix AZ","Boston MA",230
"Phoenix AZ","Indianapolis IN",230
"Charlotte NC","Buffalo NY",232
"Dothan AL","Atlanta GA",232
"Evansville IN","Chicago IL",232
"Sarasota/Bradenton FL","New York NY",232
"Springfield MO","Atlanta GA",232
"St. Louis MO","Baltimore MD",232
"Tampa FL","Nashville TN",232
"Detroit MI","Albany NY",233
"Evansville IN","Atlanta GA",234
"Newark NJ","Buffalo NY",234
"Norfolk VA","Baltimore MD",234
"Norfolk VA","Detroit MI",234
"Orlando FL","Columbus OH",234
"San Jose CA","Salt Lake City UT",234
"San Juan PR","Philadelphia PA",234
"Grand Rapids MI","Detroit MI",236
"Las Vegas NV","Kansas City MO",236
"New York NY","Austin TX",236
"Salt Lake City UT","Reno NV",236
"Denver CO","Amarillo TX",237
"Lafayette LA","Atlanta GA",237
"Roanoke VA","Atlanta GA",237
"Las Vegas NV","Fresno CA",238
"Palm Springs CA","Denver CO",238
"Manchester NH","Chicago IL",239
"Mosinee WI","Chicago IL",239
"Salt Lake City UT","Billings MT",239
"Washington DC","Milwaukee WI",239
"Chicago IL","Appleton WI",240
"Dallas/Fort Worth TX","College Station/Bryan TX",240
"Dallas/Fort Worth TX","Columbus OH",240
"Fort Smith AR","Dallas/Fort Worth TX",240
"Harrisburg PA","Chicago IL",240
"Jacksonville FL","Dallas/Fort Worth TX",240
"Knoxville TN","Dallas/Fort Worth TX",240
"Lafayette LA","Dallas/Fort Worth TX",240
"Laredo TX","Dallas/Fort Worth TX",240
"Milwaukee WI","Dallas/Fort Worth TX",240
"Mission/McAllen/Edinburg TX","Dallas/Fort Worth TX",240
"Pittsburgh PA","Dallas/Fort Worth TX",240
"San Angelo TX","Dallas/Fort Worth TX",240
"Tyler TX","Dallas/Fort Worth TX",240
"Valparaiso FL","Dallas/Fort Worth TX",240
"Waco TX","Dallas/Fort Worth TX",240
"Washington DC","Phoenix AZ",240
"Wichita KS","Dallas/Fort Worth TX",240
"Milwaukee WI","Cleveland OH",241
"Chicago IL","Charleston SC",242
"Dallas TX","Atlanta GA",242
"Miami FL","Detroit MI",242
"Minneapolis MN","Fort Myers FL",242
"Nashville TN","Los Angeles CA",242
"Raleigh/Durham NC","Orlando FL",242
"San Antonio TX","Las Vegas NV",242
"Baltimore MD","Albany NY",243
"Salt Lake City UT","Bozeman MT",243
"Melbourne FL","Atlanta GA",244
"Myrtle Beach SC","Charlotte NC",244
"San Juan PR","Boston MA",244
"South Bend IN","Chicago IL",245
"Wilmington NC","Charlotte NC",245
"Houston TX","Columbus OH",246
"Los Angeles CA","Lihue HI",246
"New York NY","Burlington VT",246
"Orlando FL","New Orleans LA",246
"Phoenix AZ","Omaha NE",246
"San Francisco CA","Austin TX",246
"St. Louis MO","Orlando FL",246
"Cincinnati OH","Charlotte NC",247
"Daytona Beach FL","Atlanta GA",247
"Orlando FL","Nashville TN",247
"Phoenix AZ","Baltimore MD",247
"Las Vegas NV","Albuquerque NM",248
"Miami FL","Las Vegas NV",248
"Ontario CA","Dallas/Fort Worth TX",248
"Portland OR","Dallas/Fort Worth TX",248
"Sacramento CA","Dallas/Fort Worth TX",248
"Salt Lake City UT","Detroit MI",248
